epoch,train_loss,train_acc,train_balanced_acc,train_f1_macro,val_log_loss,val_acc,val_balanced_acc,val_f1_macro
1,0.45721365046435897,0.7908791710425468,0.790549330535517,0.7611787347824021,0.40519118268902315,0.8148613172012328,0.8031028614436357,0.7844019456945088
2,0.36104806702937525,0.8405239834402599,0.8398530479049199,0.8148160585734597,0.369044762198995,0.8362059125670586,0.8139518258847522,0.8041159529988662
3,0.33317616523454224,0.8576642335766423,0.8559429115084665,0.8332225000218707,0.39981403707554597,0.8124643305558726,0.8311252663418989,0.7913664401592473
4,0.3217793691522666,0.8620796403745665,0.863003111041293,0.8378811830628431,0.39342831175864706,0.8179431571738386,0.8332343563354334,0.7961936394184961
5,0.31113314916835216,0.8691508082577782,0.8675228537681531,0.8436983823086837,0.3693564538244983,0.8308412281703002,0.8366058687129534,0.8072150596911901
6,0.3046480501002639,0.8684665016884351,0.868537476817449,0.8458772801612555,0.34886558967544534,0.8454514324848762,0.8320063928478618,0.8173390681602297
7,0.30508262638247363,0.8704053703015738,0.8703653807667007,0.8485010413858429,0.3519959238042306,0.8435110147243465,0.8416511585575538,0.8187174705796796
8,0.3054531799955633,0.8693789104475592,0.8697344854049658,0.8457375282831546,0.3440220860946793,0.8483049880150668,0.8420608115702761,0.8226886088054313
9,0.30234179670929257,0.8732892335766423,0.8721933049714481,0.850481728073907,0.3528047453423791,0.8441958680515923,0.8411510710133305,0.8191203267024255
10,0.3057576690249852,0.8672608186076157,0.8672358258123309,0.8444490968841991,0.3551627300083586,0.8417988814062322,0.843145769032005,0.8177759709563968
11,0.30492366076766575,0.8713503649635036,0.8698401608527965,0.8472133597813947,0.34261652291609995,0.8493322680059354,0.8492534077054588,0.8255803010043372
12,0.3018527269145868,0.8711711418454664,0.8706434304744941,0.8478701960020598,0.3521693623271511,0.8462504280333295,0.844660836465464,0.8217862336423427
13,0.30228640228156406,0.8744297445255474,0.8743325763853544,0.8532878610338969,0.3442983649347021,0.8484191302362744,0.8433623494582985,0.8231618241620613
14,0.3035213730848619,0.8669512513345176,0.862847996994758,0.8418694288446057,0.3611507903147912,0.8371190503367195,0.8435488706795191,0.8141491793786297
15,0.30459155106278013,0.8699491659220118,0.869189799960646,0.847452127109188,0.33294661751695254,0.8548110946239014,0.8418312247571724,0.8278890809196191
16,0.18569869514602325,0.931911496350365,0.9312636825865234,0.9181321219329666,0.22505868922554098,0.9114256363428832,0.8879013883370541,0.8901859216722626
17,0.07714120038612117,0.9721715328467153,0.9710267530521475,0.9662339876704379,0.20012998758952572,0.9264924095422897,0.9120918547647116,0.909885257946015
18,0.03580716734099918,0.9875684306569343,0.9878832719387695,0.9851813389897054,0.264037684888625,0.9155347563063577,0.8746364152882145,0.8910537847598644
19,0.026677652039871068,0.9912180656934306,0.9910791509786271,0.9892315395955206,0.24964200512319834,0.9291176806300651,0.9157551276957423,0.9131765907274363
20,0.016306327268694076,0.9947536496350365,0.9947362830800998,0.9933599357725542,0.43708088116345795,0.902979111973519,0.9181824406199031,0.8881823327470107
21,0.016226553828690333,0.994183394160584,0.9943319960654128,0.9931165151646363,0.35848302882333827,0.9175893162880949,0.9184707970326683,0.9021822610082963
22,0.010550844441617928,0.9968065693430657,0.9967187440497914,0.9960199534483895,0.38585547430486045,0.9074306586006163,0.897580066996059,0.8884485657036658
23,0.007000311958468372,0.9985173357664233,0.9984494975825507,0.9983354735949364,0.3853223089234677,0.9221550051363999,0.8913494296522754,0.901485437524542
24,0.006653252666559487,0.9980611313868614,0.9980610554285946,0.9977499660803979,0.34097621747661877,0.9269489784271202,0.9144875027570329,0.9107653152490756
25,0.004927415573040373,0.9978330291970803,0.9978642454461987,0.9973521545698892,0.3690818243799057,0.9263782673210821,0.9100571420350108,0.9094065352881644
26,0.01220455444308599,0.9968065693430657,0.9958816123048112,0.9948722641144266,0.3157153839348097,0.9307156717269718,0.9162582661208223,0.9148884338979982
27,0.0013008051451742443,0.9996578467153284,0.9997023809522193,0.9996225376966732,0.419296807254998,0.9296883917361032,0.9072327328814433,0.9122562420479426
28,0.014988893787011449,0.9943789104475592,0.9947023399348401,0.9927313856491385,0.3413527599721486,0.9207852984819085,0.8901500802156863,0.8998579529545667
29,0.005897984755888443,0.9979470802919708,0.9983301167606132,0.9976484460322433,0.29809433422850234,0.9374500627782216,0.9165544263656737,0.9219025539554068
30,0.0002893088959237949,1.0,0.9999999999998386,0.9999999999993405,0.3164442653420145,0.9385914849902979,0.9263927142652895,0.9246271348953893
